date,book_gross_before,target_gross,multiplier,long_exposure,short_exposure,gross_return,cost,tax,net_return,turnover_oneway,bm_capped_names
2021-07-31,0.7473170536741705,0.4,0.5352480557394046,0.19999999999999998,-0.2,0.004750225369446396,0.0003326580040255296,8.630694741550848e-05,0.004331260418005358,0.1663290020127648,0
2021-08-31,0.843622341714011,0.4,0.4741458117234175,0.2,-0.20000000000000004,0.0011023963962097701,0.00022514691452219394,7.371791167029934e-05,0.0008035315700172769,0.11257345726109697,0
2021-09-30,0.8429761904963535,0.4,0.4745092500945675,0.2,-0.2,-0.0048692821974525985,0.0002334967756528944,7.163772248068073e-05,-0.005174416695586173,0.1167483878264472,0
2021-10-31,0.9084230286019739,0.4,0.4403234918159041,0.2,-0.2,0.00645913507166481,0.00024632976572593225,8.83330473655017e-05,0.006124472258573376,0.12316488286296612,0
2021-11-30,0.7838923826826931,0.4,0.5102741254240679,0.2,-0.2,0.0019764300242866226,0.00025673746564502026,9.065550492152613e-05,0.0016290370537200762,0.12836873282251013,0
2021-12-31,0.8181212419063143,0.4,0.4889250877632209,0.2,-0.2,0.0031882456423229996,0.0003644029135713549,0.00013074085195955213,0.0026931018767920923,0.18220145678567745,0
2022-01-31,0.8456115954665088,0.4,0.4730304103497152,0.20000000000000004,-0.20000000000000004,-0.006085895623416857,0.00022272393392023382,6.198664788207199e-05,-0.006370606205219163,0.11136196696011691,0
2022-02-28,0.9032511650807064,0.4,0.4428447097151097,0.2,-0.2,-0.004417970925186386,0.000285549586502135,7.63634231381207e-05,-0.004779883934826641,0.1427747932510675,0
2022-03-31,0.8961671684028042,0.4,0.446345295948412,0.20000000000000004,-0.2,0.0038523312044576727,0.00031356206028773176,9.39609498402193e-05,0.0034448081943297217,0.15678103014386588,0
2022-04-30,0.9456326141011184,0.4,0.42299725499656593,0.20000000000000004,-0.2,0.007276184827831952,0.0002730980550104813,7.458961922663975e-05,0.006928497153594831,0.13654902750524064,0
2022-05-31,0.8887635201416707,0.4,0.4500634768810484,0.2,-0.2,0.0017029852225725118,0.00026863227136496233,9.332315756049314e-05,0.0013410297936470564,0.13431613568248116,0
2022-06-30,0.8777866322476144,0.4,0.455691605801493,0.2,-0.2,-0.00011379030363772554,0.00036235623249461203,0.00010270598502529023,-0.0005788525211576278,0.181178116247306,0
2022-07-31,0.8639456215900295,0.4,0.4629921027481208,0.2,-0.2,0.006002404778512559,0.00018911936695090303,5.4427434518762326e-05,0.005758857977042894,0.09455968347545152,0
2022-08-31,0.851533598494596,0.4,0.4697407133519447,0.2,-0.2,-0.004005693294448942,0.0002832372917650384,8.42035280019674e-05,-0.004373134114215948,0.14161864588251918,0
2022-09-30,0.8617325750456045,0.4,0.46418112948652457,0.2,-0.2,0.003818541466657997,0.0002871839658536979,8.387991702702192e-05,0.003447477583777277,0.14359198292684894,0
2022-10-31,0.8266986912668775,0.4,0.48385222357981306,0.2,-0.2,0.004815357348560765,0.00025750205903325295,8.380928994908605e-05,0.0044740459995784255,0.12875102951662648,0
2022-11-30,0.823126019744646,0.4,0.4859523212789335,0.19999999999999998,-0.2,-0.0031782160618226514,0.00024460226137915634,7.531722324393607e-05,-0.0034981355464457436,0.12230113068957818,0
2022-12-31,0.8011945696642582,0.4,0.49925450713878483,0.2,-0.2,-0.0029144429285778623,0.00039313851715239156,0.00012444917184246056,-0.0034320306175727143,0.19656925857619578,0
2023-01-31,0.8779894323822164,0.4,0.4555863490460184,0.2,-0.2,-0.00658263425558808,0.0002687776449577238,0.00010363523659324899,-0.0069550471371390525,0.13438882247886189,0
2023-02-28,1.0448884582749693,0.4,0.3828159808180572,0.19999999999999996,-0.19999999999999998,-0.001270525926833408,0.00035991510192132185,9.858713872232799e-05,-0.0017290281674770577,0.1799575509606609,0
2023-03-31,1.0837573211234512,0.4,0.36908631868373404,0.2,-0.2,0.0009569499300594953,0.00044338454807981895,0.00015631939850849764,0.0003572459834711787,0.22169227403990946,0
2023-04-30,0.9080480564574155,0.4,0.44050532034673073,0.20000000000000004,-0.2,-0.0009821290318490865,0.00035724938243507126,0.00011013484187810266,-0.0014495132561622604,0.17862469121753563,0
2023-05-31,0.8131523677666421,0.4,0.49191272860536234,0.19999999999999998,-0.19999999999999998,-0.0007123536750627666,0.000324275530505681,0.00010330452055395968,-0.0011399337261224073,0.1621377652528405,0
2023-06-30,0.8041355076472521,0.4,0.49742860027450364,0.2,-0.2,0.001494284459803876,0.00039977802193370696,0.00011941518070193515,0.0009750912571682338,0.19988901096685346,0
2023-07-31,0.6954150097446676,0.4,0.5751960978622912,0.2,-0.2,-0.0027553170671465914,0.00029769427834769454,9.538648262845508e-05,-0.003148397828122741,0.14884713917384726,0
2023-08-31,0.7852164003124688,0.4,0.5094137104635412,0.2,-0.2,0.0008146709948109161,0.0003974769907786192,9.820538214166506e-05,0.00031898862189063185,0.1987384953893096,0
2023-09-30,0.8176682863692939,0.4,0.48919593271267336,0.2,-0.20000000000000007,0.0015208449866534182,0.0002801408404061826,8.216207980237606e-05,0.0011585420664448596,0.1400704202030913,0
