isin,ticker,gvkeyiid,ls_weight,country,figi,bbg_ticker,exch,mtd_local,mtd_usd,contrib_local,contrib_usd,missing_px
US69370C1009,PTC,01869901,0.0002656863281829,USA,BBG000C2VBB0,,US,-0.15782714781045337,-0.15782714781045337,-4.193251538933918e-05,-4.193251538933918e-05,False
US25809K1051,DASH,03742001,0.000269226031803,USA,BBG005D7QCJ3,,US,-0.1509450245965307,-0.1509450245965307,-4.0638329992530195e-05,-4.0638329992530195e-05,False
US5128073062,LRCX,00656501,0.0003767357984025,USA,BBG000BNFLM9,,US,-0.10700189060997045,-0.10700189060997045,-4.0311442689524186e-05,-4.0311442689524186e-05,False
CA8787422044,TECK.B,01038501C,0.0007158097457588,CAN,BBG000BCS9D6,,CN,-0.0486910551913724,-0.05415057018262437,-3.485353183726397e-05,-3.87615058751184e-05,False
US09857L1089,BKNG,11931401,0.0002826411520237,USA,BBG000BLBVN4,,US,-0.1370033653121704,-0.1370033653121704,-3.8722789002955655e-05,-3.8722789002955655e-05,False
US16119P1084,CHTR,12613603,0.0003376066885703,USA,BBG000VPGNR2,,US,-0.11440566780372607,-0.11440566780372607,-3.862411866088975e-05,-3.862411866088975e-05,False
US36118L1061,FUTU,03460390,0.0003812098267483,HKG,BBG00MYXW4R8,,US,-0.1008678565580482,-0.1008678565580482,-3.845181812296593e-05,-3.845181812296593e-05,False
NL0000009538,PHIA,00854601W,0.0006234883296467,NLD,BBG000JX4JW5,,,-0.05325185508511565,-0.059934885241343605,-3.3201910177606884e-05,-3.7368701486691975e-05,False
US5253271028,LDOS,16512301,0.0004755056952536,USA,BBG000C23PB0,,US,-0.07438556451037748,-0.07438556451037748,-3.5370759569338554e-05,-3.5370759569338554e-05,False
CH0244767585,UBSG,14449609W,0.0005024936182831,CHE,BBG007936GV2,,SW,-0.056910569105691144,-0.06946066340296009,-2.8597197788469147e-05,-3.490354008169792e-05,False
LR0008862868,RCL,02819101,0.0006272293937534,USA,BBG000BB5792,,US,-0.05514623799955354,-0.05514623799955354,-3.458934142824068e-05,-3.458934142824068e-05,False
FR0013258662,AYV,21517902W,0.000649539835357,FRA,BBG00GQ97277,,FP,-0.044096491228070245,-0.05084351577920432,-2.8642427652102144e-05,-3.3024888868195405e-05,False
FR0000125007,SGO,10181101W,0.0002803255456455,FRA,BBG000BCCNC3,,FP,-0.11057201225740543,-0.11685010849119748,-3.099615966917809e-05,-3.275607042153081e-05,False
US0079031078,AMD,00116101,-0.0003678786922125,USA,BBG000BBQCY0,,US,0.08875764785859963,0.08875764785859963,-3.2652047418079234e-05,-3.2652047418079234e-05,False
FI0009007884,ELISA,23408701W,-0.0004236627525156,FIN,BBG000F09217,,FH,0.08418657565415244,0.07653376625061781,-3.5666716366501025e-05,-3.242450607012227e-05,False
US5745991068,MAS,00708501,0.0005871679460804,USA,BBG000BNNKG9,,US,-0.053769968844600946,-0.053769968844600946,-3.1572002167291434e-05,-3.1572002167291434e-05,False
JP3830800003,5108,10036901W,0.0004015227083426,JPN,BBG000BG87J7,,JP,-0.10373944511459587,-0.07739258969334117,-4.165374296437104e-05,-3.107488221931794e-05,False
