isin,ticker,gvkeyiid,ls_weight,country,figi,bbg_ticker,exch,mtd_local,mtd_usd,contrib_local,contrib_usd,missing_px
CNE100005B03,688331 CH Equity,34408204W,0.0002147204904374,CHN,,,,-0.05649531942847752,-0.05463805810800815,-1.2130702695100266e-05,-1.173191063349867e-05,False
CNE100000SL4,601818 CH Equity,26978401W,-0.0004037485674318,CHN,,,,0.026936026936026813,0.028957965702909316,-1.0875382287725203e-05,-1.1691737168288834e-05,False
CNE000000RB8,600089 CH Equity,27104701W,0.0002249180511665,CHN,,,,-0.05279665446941961,-0.050933064518961624,-1.1874920631372941e-05,-1.1455765611542456e-05,False
CNE100000KT4,002340 CH Equity,29372001W,0.0002525400937538,CHN,,,,-0.04594180704441042,-0.0440607507408628,-1.1602148258214397e-05,-1.1127106122960304e-05,False
CNE000000M15,600741 CH Equity,26009901W,0.0003995931677756,CHN,,,,-0.029126213592232997,-0.027216032147796443,-1.1638635954629121e-05,-1.0875340500220547e-05,False
CNE100006M82,603296 CH Equity,35777801W,0.000283376381597,CHN,,,,-0.03958333333333319,-0.03769258005813414,-1.1216981771547876e-05,-1.0681186949929292e-05,False
CNE100004QK2,688187 CH Equity,28208205W,0.0002882088272148,CHN,,,,-0.03823279524214096,-0.03634046403559976,-1.1019029077881032e-05,-1.0473642520141826e-05,False
CNE000000T18,600111 CH Equity,27104401W,0.0001390397717442,CHN,,,,-0.07705563761693734,-0.07523786838170099,-1.071379826586276e-05,-1.0461056046311867e-05,False
CNE1000022N7,601985 CH Equity,31983201W,-0.0004006194307945,CHN,,,,0.023622047244094446,0.0256373434512156,-9.463451121129905e-06,-1.0270817940509096e-05,False
CNE000000WN3,000830 CH Equity,27202401W,0.0001304256425995,CHN,,,,-0.08024691358024694,-0.07843737038573217,-1.0466255270330249e-05,-1.023024443637411e-05,False
CNE100000ML7,002371 CH Equity,29404201W,0.0002009335913324,CHN,,,,-0.05273010474570938,-0.05086549099155402,-1.0595249317889014e-05,-1.0220585779818788e-05,False
CNE100003MN7,688008 CH Equity,34655901W,0.0004454622628304,CHN,,,,-0.024688948524030252,-0.02276889424807571,-1.0997994876417781e-05,-1.0142683153893885e-05,False
CNE000000FB3,000559 CH Equity,26022401W,0.00012345529288,CHN,,,,-0.08281389136242201,-0.08100734145859878,-1.0223813212680311e-05,-1.0000785065201479e-05,False
CNE1000020V4,300476 CH Equity,31985801W,0.0001958641871162,CHN,,,,-0.05256230978037335,-0.05069742711655878,-1.0295074078082715e-05,-9.92981035106758e-06,False
CNE100000KD8,601877 CH Equity,29373001W,0.000278916134429,CHN,,,,-0.036993769470405,-0.035097909929144966,-1.0318159178642916e-05,-9.789373363974331e-06,False
CNE0000006Y9,000423 CH Equity,26013001W,0.0003099164300413,CHN,,,,-0.033411668539899964,-0.03150831269120291,-1.0354825035609012e-05,-9.764943785882592e-06,False
CNE0000018R8,600519 CH Equity,25132101W,0.0003244438971593,CHN,,,,-0.03195025855700562,-0.030044779843724,-1.0366066401482176e-05,-9.747845461791e-06,False
CNE000000R69,600085 CH Equity,25130201W,0.0003368707362254,CHN,,,,-0.030556718292172436,-0.028648733785593072,-1.0293664187716276e-05,-9.650920042278229e-06,False
CNE000001FQ9,600487 CH Equity,26003401W,0.0003494102942738,CHN,,,,-0.029385574354407695,-0.027475124601365364,-1.0267622182578224e-05,-9.600091372172394e-06,False
CNE000001R84,601318 CH Equity,16070902W,0.000419672365819,CHN,,,,-0.024453600859906888,-0.0225421725324223,-1.0262500525670657e-05,-9.460326877381744e-06,False
CNE000001LJ2,600027 CH Equity,23602502W,-0.0001394301832871,CHN,,,,0.065359477124183,0.06745520552757944,-9.113083874973855e-06,-9.405291670379403e-06,False
CNE000000PC0,600795 CH Equity,25134701W,-0.0003222670200859,CHN,,,,0.027027027027027195,0.02904284435681581,-8.709919461781136e-06,-9.359550905689629e-06,False
CNE000001C81,600535 CH Equity,26021901W,0.0001812364487331,CHN,,,,-0.0524523160762943,-0.05058632905830318,-9.50627149349367e-06,-9.168086632970892e-06,False
CNE000000SV4,600109 CH Equity,27202001W,0.0001969610531129,CHN,,,,-0.047126436781609216,-0.04525023169601472,-9.282072617964258e-06,-8.912533288449787e-06,False
CNE100002NT4,300661 CH Equity,32470501W,0.0005054333147939,CHN,,,,-0.019298245614035148,-0.017367948599312455,-9.753976250408627e-06,-8.778339831720567e-06,False
CNE0000015Y0,600016 CH Equity,24948201W,-0.0001715697474134,CHN,,,,0.04759206798866855,0.049566011877569593,-8.165359083697222e-06,-8.5040281381242e-06,False
CNE000000S84,000729 CH Equity,25130601W,0.0001674710443044,CHN,,,,-0.05263157894736836,-0.05076534070480898,-8.814265489705253e-06,-8.501724622303025e-06,False
CNE100002FD4,000166 CH Equity,31912301W,0.0002400197469546,HKG,,,,-0.03719912472647702,-0.03530155556209014,-8.928524503781617e-06,-8.473070433116626e-06,False
CNE100004173,300857 CH Equity,34525801W,0.0004967163722394,CHN,,,,-0.017899127796738634,-0.01596580928273994,-8.89078982544542e-06,-7.93047886678872e-06,False
CNE0000011S1,000963 CH Equity,26000801W,0.000227010179003,CHN,,,,-0.03668378576669107,-0.03478653103378582,-8.327592773404242e-06,-7.896896636873132e-06,False
CNE100001TS5,603939 CH Equity,31925501W,0.0007867494917367,CHN,,,,-0.011800699300699269,-0.009855601922958312,-9.284194176962781e-06,-7.753889803646695e-06,False
CNE000000DG7,600803 CH Equity,27234001W,-0.0002454511270747,CHN,,,,0.02952433023510115,0.03154975110670266,-7.246780132331219e-06,-7.743921968066432e-06,False
